Rooms,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Longtitude,YearSold,Type_h,Type_ht,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria
2.0,800000.0,1.6,2.0,1.0,0.6,117.0,78.4,144.97283,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1263000.0,1.6,3.0,1.0,1.0,110.0,128.0,144.97204,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2061000.0,1.6,4.0,3.0,2.0,418.6,249.8,144.97177,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1230000.0,1.6,2.0,2.0,1.0,0.0,153.0,144.9845,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1309000.0,1.6,3.0,1.0,0.0,168.0,95.2,144.9924,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,670000.0,1.6,2.0,1.0,0.0,118.0,96.4,144.993,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1300000.0,1.6,3.0,1.0,1.0,209.0,93.2,144.9861,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1320000.0,1.6,2.0,2.0,1.0,0.0,112.0,144.9885,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,888000.0,1.6,2.0,1.0,0.0,112.0,100.0,144.9901,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1430000.0,1.6,2.0,1.0,0.0,231.0,91.4,144.9905,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1470000.0,1.6,3.0,2.0,0.0,150.0,123.4,144.9924,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1326000.0,1.6,3.0,2.0,2.0,718.0,158.2,144.9781,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1315000.0,1.6,2.0,1.0,0.0,141.0,83.2,144.9765,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1200000.0,1.6,2.0,1.0,0.0,63.0,83.2,144.9825,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1350000.0,1.6,2.0,1.0,0.0,131.0,110.0,144.9776,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2725000.0,1.6,3.0,2.0,1.0,0.0,138.4,144.9833,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1410000.0,1.6,2.0,2.0,1.2,150.0,104.0,144.97367,2018,True,False,False,False,False,False,True,False,False,False,False,False
1.0,1252000.0,1.6,1.0,1.0,1.0,138.0,46.8,144.97368,2018,True,False,False,False,False,False,True,False,False,False,False,False
4.0,3825000.0,1.6,4.0,1.0,2.0,316.0,142.8,144.9679,2018,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1600000.0,1.8,4.0,2.0,1.0,635.0,175.0,144.97,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1630100.0,1.8,4.0,2.0,0.0,132.0,195.0,144.9656,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,920000.0,1.8,3.0,1.0,0.0,121.0,122.6,144.9725,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,957000.0,1.8,2.0,1.0,1.0,122.0,92.2,144.9724,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1590000.0,1.8,2.0,2.0,2.0,100.0,106.0,144.9655,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1117000.0,1.8,2.0,1.0,0.0,128.0,92.0,144.9737,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2033000.0,1.8,2.0,2.0,2.0,123.0,178.0,144.9665,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1170000.0,1.8,2.0,1.0,1.0,144.0,81.0,144.9738,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1662000.0,1.8,3.0,1.0,0.0,118.0,122.6,144.9729,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2345000.0,1.8,4.0,1.0,1.0,284.0,285.0,144.9659,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1260000.0,1.8,4.0,1.0,2.0,151.0,142.8,144.9679,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1162000.0,1.8,4.0,1.0,0.0,121.0,130.0,144.9724,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,840000.0,1.8,2.0,1.0,0.0,66.0,81.0,144.9644,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,720000.0,1.8,2.0,1.0,1.0,117.0,71.0,144.9728,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1550000.0,1.8,2.0,3.0,1.0,0.0,192.0,144.9718,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1600000.0,1.8,2.0,3.0,1.0,0.0,192.0,144.9718,2016,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1010000.0,1.8,2.0,1.0,0.0,101.0,60.0,144.9713,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1616000.0,1.8,4.0,1.0,0.0,152.0,139.0,144.9709,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2705000.0,1.8,4.0,2.0,2.0,0.0,152.6,144.9689,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1460000.0,1.8,2.0,1.0,0.0,99.0,83.2,144.9738,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1100000.0,1.8,2.0,1.0,0.0,129.0,83.2,144.94513,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,850000.0,1.8,2.0,1.0,1.2,119.0,81.0,144.94253,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,962000.0,1.8,2.0,1.0,0.0,91.0,2.0,144.94981,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1803000.0,1.8,2.0,2.0,0.0,119.0,77.554,144.95614,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1470000.0,1.8,2.0,1.0,0.8,286.0,88.6,144.98269,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,970000.0,1.8,2.0,1.0,0.0,102.0,66.0,144.94207,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1480000.0,1.8,3.0,2.0,1.6,133.0,200.0,144.95117,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1425000.0,1.8,3.0,1.0,3.0,163.0,127.8,144.95718,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1285000.0,1.8,3.0,1.0,1.0,170.0,147.0,144.94324,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1746000.0,1.8,4.0,2.0,0.0,149.0,149.8,144.94424,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,516000.0,1.8,2.0,1.0,1.2,1044.0,79.0,144.94687,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1475000.0,1.8,4.0,2.0,1.0,137.0,183.6,144.9496,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1550000.0,1.8,3.0,2.0,1.0,173.0,127.2,144.94248,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1550000.0,1.8,3.0,1.0,2.0,455.2,116.6,144.9498,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1126000.0,1.8,2.0,1.0,0.0,114.0,65.0,144.94846,2017,True,False,False,False,False,False,True,False,False,False,False,False
1.0,1000000.0,1.8,1.0,1.0,0.0,133.0,43.2,144.94753,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1405000.0,1.8,2.0,1.0,1.0,416.8,150.2,144.9473,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1080000.0,1.8,2.0,1.0,1.2,100.0,67.0,144.94642,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,5600000.0,1.8,3.0,1.2,1.6,567.6,92.0,145.02252800000002,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1150000.0,1.8,4.0,2.0,2.0,505.4,165.4,144.99310400000002,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,1620000.0,1.8,4.0,1.8,1.8,550.8,172.0,144.94167,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1350000.0,1.8,3.0,2.0,3.0,296.0,160.0,144.958,2017,True,False,False,False,False,False,True,False,False,False,False,False
4.0,3700000.0,1.8,4.0,3.0,1.0,329.4,174.0,144.9557,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2675000.0,1.8,3.0,2.0,1.0,183.0,168.0,144.9543,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1285000.0,1.8,3.0,2.0,1.6,87.0,139.0,144.95573,2018,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1400000.0,1.8,4.0,1.0,1.6,105.0,164.8,144.95559,2018,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1270000.0,1.8,3.0,2.0,2.0,214.0,137.0,144.94093,2018,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1260000.0,1.9,2.0,3.0,2.0,506.0,195.0,144.9448,2016,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2100000.0,1.9,4.0,1.0,0.0,440.0,133.4,144.9463,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2370000.0,1.9,3.0,3.0,2.0,265.0,280.0,144.9481,2016,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1720000.0,1.9,3.0,2.0,2.0,81.0,137.0,144.95536,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1242000.0,1.9,3.0,1.0,1.0,134.0,145.0,144.96102,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1805000.0,1.9,3.0,2.0,1.0,191.0,133.4,144.95291,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1225000.0,1.9,2.0,1.0,0.4,100.0,71.0,144.96378,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1700000.0,1.9,3.0,1.0,1.0,118.0,143.6,144.95692,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2200000.0,1.9,3.0,2.0,1.0,195.0,98.6,144.96287,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1412000.0,1.9,3.0,1.0,1.8,128.0,130.0,144.95057,2017,True,False,False,False,False,False,False,False,False,True,False,False
1.0,407500.0,1.9,1.0,1.0,1.0,0.0,53.0,144.96864,2017,True,False,False,False,False,False,False,False,False,True,False,False
4.0,3825000.0,1.9,4.0,3.0,0.0,280.0,228.0,144.95113,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1935000.0,1.9,3.0,2.0,0.6,160.0,152.6,144.95908,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1355000.0,1.9,2.0,1.0,0.0,109.0,78.0,144.95243,2017,True,False,False,False,False,False,False,False,False,True,False,False
1.0,855000.0,1.9,1.0,1.0,0.0,67.0,72.0,144.95529,2017,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1850000.0,1.9,4.0,2.0,2.0,132.0,241.0,144.95758,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2800000.0,1.9,3.0,2.0,2.0,216.0,193.74,144.96208,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1137000.0,1.9,2.0,1.0,0.4,126.0,79.0,144.95606,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1050000.0,1.9,2.0,1.0,0.4,136.2,91.4,144.95501,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1180000.0,1.9,2.0,1.0,0.2,140.0,106.8,144.95459,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1150000.0,1.9,2.0,1.0,0.8,100.0,84.0,144.9686,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,980000.0,1.9,2.0,1.0,0.0,64.0,112.0,144.95464,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,960000.0,1.9,2.0,1.0,0.4,138.0,84.0,144.94916,2017,True,False,False,False,False,False,False,False,False,True,False,False
5.0,4500000.0,1.9,5.0,3.0,1.0,507.6,179.0,144.95976,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1030000.0,1.9,2.0,1.2,0.2,403.4,95.2,145.033814,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,970000.0,1.9,2.0,1.0,0.2,82.0,107.6,144.95164,2017,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1800000.0,1.9,4.0,3.0,1.0,153.0,93.0,144.94963,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1220000.0,1.9,2.0,1.0,0.4,287.0,95.0,144.9498,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,4600000.0,1.9,3.0,1.0,2.2,491.4,255.0,145.005516,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1210000.0,1.9,3.0,2.0,1.2,149.0,147.8,144.96917,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1800000.0,1.9,3.0,1.0,0.4,124.0,138.0,144.96078,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1200000.0,1.9,2.0,1.0,1.0,111.0,137.0,144.9638,2017,True,False,False,False,False,False,False,False,False,True,False,False
1.0,807500.0,1.9,1.0,1.0,0.0,74.0,66.4,144.9605,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1950000.0,1.9,3.0,1.0,2.2,491.4,255.0,145.005516,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1000000.0,1.9,2.0,1.0,0.0,174.2,78.0,144.95272,2017,True,False,False,False,False,False,False,False,False,True,False,False
4.0,4100000.0,1.9,4.0,2.0,1.0,403.0,174.4,144.95799,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1820000.0,1.9,3.0,1.0,2.2,491.4,255.0,145.005516,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1071000.0,1.9,3.0,1.0,0.6,6880.0,143.6,144.95471,2017,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1151000.0,1.9,2.0,1.0,0.4,128.0,95.0,144.96633,2017,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1750000.0,1.9,3.0,1.0,1.0,160.0,158.6,144.9451,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1053000.0,1.9,2.0,1.0,0.0,147.0,84.4,144.9459,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,3050000.0,1.9,3.0,2.0,0.0,150.0,213.0,144.96262,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1250000.0,1.9,3.0,1.0,1.0,145.0,145.0,144.96338,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1750000.0,1.9,3.0,1.0,1.0,104.0,133.0,144.95965,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2200000.0,1.9,3.0,3.0,3.0,111.0,196.0,144.96407,2018,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1840000.0,1.9,2.0,1.0,1.0,177.0,137.0,144.94977,2018,True,False,False,False,False,False,False,False,False,True,False,False
4.0,2000000.0,1.9,4.0,3.0,1.0,273.0,244.8,144.95489,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2000000.0,1.9,3.0,1.0,1.0,179.0,143.6,144.95941,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1640000.0,1.9,3.0,2.0,0.0,105.0,150.0,144.96243,2018,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1880000.0,1.9,4.0,2.0,2.0,127.0,241.0,144.96435,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1720000.0,1.9,3.0,2.0,1.8,131.0,187.0,144.9632,2018,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1450000.0,1.9,2.0,1.0,0.0,130.0,83.0,144.9482,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1365000.0,1.9,3.0,2.0,1.0,513.0,98.6,144.96559,2018,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1840000.0,1.9,4.0,3.0,2.0,443.0,261.2,144.95211,2018,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1087000.0,1.9,2.0,1.0,0.0,141.0,77.2,144.96622,2018,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1460000.0,2.0,3.0,2.0,1.0,151.0,120.0,144.9915,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1095000.0,2.0,2.0,1.0,0.0,151.0,88.0,144.99256,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1075000.0,2.0,3.0,1.0,0.8,246.6,124.4,144.98615,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1025000.0,2.0,3.0,2.0,1.0,108.0,162.0,144.9863,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1297000.0,2.0,3.0,2.0,0.0,186.0,137.0,144.99158,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1126000.0,2.0,2.0,1.0,0.8,180.0,119.0,144.99225,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1135000.0,2.0,2.0,1.0,0.0,144.0,80.0,144.98894,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1080000.0,2.0,2.0,1.0,0.0,0.0,94.0,144.98863,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1300000.0,2.0,3.0,1.0,1.0,112.0,88.0,144.98873,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1090000.0,2.0,2.0,1.0,1.2,223.6,106.2,144.98854,2017,True,False,False,False,False,False,True,False,False,False,False,False
2.0,900000.0,2.0,2.0,1.0,0.0,139.0,78.0,144.98873,2017,True,False,False,False,False,False,True,False,False,False,False,False
3.0,1306000.0,2.0,3.0,1.2,1.6,567.6,92.0,145.02252800000002,2018,True,False,False,False,False,False,True,False,False,False,False,False
2.0,1079500.0,2.0,2.0,1.0,1.0,125.0,125.0,144.98954,2018,True,False,False,False,False,False,True,False,False,False,False,False
3.0,2330000.0,2.0,3.0,2.0,2.0,178.0,164.4,144.98808,2018,True,False,False,False,False,False,True,False,False,False,False,False
4.0,2000000.0,2.1,4.0,2.4,2.4,676.2,273.6,145.01184800000001,2016,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1026000.0,2.1,2.0,1.2,0.2,403.4,95.2,145.033814,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2250000.0,2.1,3.0,1.2,0.8,212.2,136.4,144.961,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1405000.0,2.1,3.0,1.0,1.0,181.0,117.0,144.9631,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1600000.0,2.1,3.0,2.0,1.0,88.0,93.0,144.9628,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2000000.0,2.1,3.0,2.0,1.0,161.0,141.0,144.9499,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2075000.0,2.1,3.0,2.0,0.0,141.0,163.0,144.9576,2016,True,False,False,False,False,False,False,False,False,True,False,False
2.0,920500.0,2.1,2.0,1.0,0.0,114.0,75.8,144.9686,2016,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1615000.0,2.1,4.0,3.0,2.0,577.0,220.0,144.9502,2016,True,False,False,False,False,False,False,False,False,True,False,False
1.0,1002000.0,2.1,1.0,1.0,0.0,84.0,66.4,144.9548,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1250000.0,2.1,3.0,2.0,1.0,108.0,125.0,144.9509,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1250000.0,2.1,3.0,2.0,0.0,224.0,113.0,144.9529,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1650000.0,2.1,3.0,2.0,0.0,204.0,195.0,144.9531,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1200000.0,2.1,3.0,2.0,0.0,113.0,120.0,144.9688,2016,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1355000.0,2.1,2.0,1.0,0.0,101.0,75.4,144.9644,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,1825000.0,2.1,3.0,2.0,2.0,151.0,153.0,144.9632,2016,True,False,False,False,False,False,False,False,False,True,False,False
4.0,2180000.0,2.1,4.0,3.0,1.0,200.0,153.0,144.965,2016,True,False,False,False,False,False,False,False,False,True,False,False
2.0,1150000.0,2.1,2.0,1.0,0.0,113.0,75.8,144.9493,2016,True,False,False,False,False,False,False,False,False,True,False,False
4.0,2260000.0,2.1,5.0,3.0,0.0,190.0,232.0,144.9653,2016,True,False,False,False,False,False,False,False,False,True,False,False
3.0,2300000.0,2.1,3.0,2.0,2.0,0.0,260.0,144.952,2016,True,False,False,False,False,False,False,False,False,True,False,False
4.0,1620000.0,2.1,4.0,2.0,0.0,163.0,153.0,144.951,2016,True,False,False,False,False,False,False,False,False,True,False,False
